old_url,new_url,redirect_type,category,reason
/,/,none-200,DE-flip-EN,No-prefix now English; German at /de/<path>
/apartment-zypern,/de/apartment-zypern,301,DE-to-/de,German-only page moved under /de
/apartment-zypern/wohnungen-in-paphos,/de/apartment-zypern/wohnungen-in-paphos,301,DE-to-/de,German-only page moved under /de
/blog,/blog,none-200,DE-flip-EN,No-prefix now English; German at /de/<path>
/blog/ausstattung-von-luxusimmobilien-auf-zypern,/de/blog/ausstattung-von-luxusimmobilien-auf-zypern,301,DE-to-/de,German-only page moved under /de
/blog/auswandern-nach-zypern-aus-deutschland,/de/blog/auswandern-nach-zypern-aus-deutschland,301,DE-to-/de,German-only page moved under /de
/blog/beste-gegenden-um-eine-familienvilla-in-paphos-zu-kaufen,/de/blog/beste-gegenden-um-eine-familienvilla-in-paphos-zu-kaufen,301,DE-to-/de,German-only page moved under /de
/blog/die-10-haeufigsten-fehler-beim-immobilienkauf-auf-zypern,/de/blog/die-10-haeufigsten-fehler-beim-immobilienkauf-auf-zypern,301,DE-to-/de,German-only page moved under /de
/blog/die-besten-orte-zum-leben-auf-zypern-fuer-auswanderer,/de/blog/die-besten-orte-zum-leben-auf-zypern-fuer-auswanderer,301,DE-to-/de,German-only page moved under /de
/blog/ein-haus-am-meer-auf-zypern-lohnt-sich-die-investition,/de/blog/ein-haus-am-meer-auf-zypern-lohnt-sich-die-investition,301,DE-to-/de,German-only page moved under /de
/blog/haustier-nach-zypern-bringen,/de/blog/haustier-nach-zypern-bringen,301,DE-to-/de,German-only page moved under /de
/blog/immobilien-auf-zypern-in-spanien-und-portugal,/de/blog/immobilien-auf-zypern-in-spanien-und-portugal,301,DE-to-/de,German-only page moved under /de
/blog/immobilien-auf-zypern-kaufen-strategischer-leitfaden,/de/blog/immobilien-auf-zypern-kaufen-strategischer-leitfaden,301,DE-to-/de,German-only page moved under /de
/blog/immobilien-zypern-mit-garantierten-mieteinnahmen,/de/blog/immobilien-zypern-mit-garantierten-mieteinnahmen,301,DE-to-/de,German-only page moved under /de
/blog/immobilieninvestitionen-in-zypern-umfassende-leitfaden,/de/blog/immobilieninvestitionen-in-zypern-umfassende-leitfaden,301,DE-to-/de,German-only page moved under /de
/blog/immobilienmarkt-zypern-prognose,/de/blog/immobilienmarkt-zypern-prognose,301,DE-to-/de,German-only page moved under /de
/blog/kapital-nach-zypern-transferieren,/de/blog/kapital-nach-zypern-transferieren,301,DE-to-/de,German-only page moved under /de
/blog/krankenversicherung-auf-zypern,/de/blog/krankenversicherung-auf-zypern,301,DE-to-/de,German-only page moved under /de
/blog/luxusimmobilien-zypern-vermieten-rendite,/de/blog/luxusimmobilien-zypern-vermieten-rendite,301,DE-to-/de,German-only page moved under /de
/blog/meerblick-villen-auf-zypern-die-beliebtesten-regionen-fuer-kaeufer,/de/blog/meerblick-villen-auf-zypern-die-beliebtesten-regionen-fuer-kaeufer,301,DE-to-/de,German-only page moved under /de
/blog/mieteinnahmen-aus-deutschland-in-zypern-versteuern,/de/blog/mieteinnahmen-aus-deutschland-in-zypern-versteuern,301,DE-to-/de,German-only page moved under /de
/blog/paphos-infrastruktur,/de/blog/paphos-infrastruktur,301,DE-to-/de,German-only page moved under /de
/blog/ratgeber-fuer-deutsche-rentner,/de/blog/ratgeber-fuer-deutsche-rentner,301,DE-to-/de,German-only page moved under /de
/blog/ruhestand-auf-zypern-warum-der-immobilienkauf-der-beste-weg-zu-einem-sicheren-und-sonnigen-lebensabend-ist,/de/blog/ruhestand-auf-zypern-warum-der-immobilienkauf-der-beste-weg-zu-einem-sicheren-und-sonnigen-lebensabend-ist,301,DE-to-/de,German-only page moved under /de
/blog/steuerliche-residenz-auf-zypern,/de/blog/steuerliche-residenz-auf-zypern,301,DE-to-/de,German-only page moved under /de
/blog/steuern-auf-immobilien-in-zypern,/de/blog/steuern-auf-immobilien-in-zypern,301,DE-to-/de,German-only page moved under /de
/blog/umzug-nach-zypern-mit-schulpflichtigen-kindern,/de/blog/umzug-nach-zypern-mit-schulpflichtigen-kindern,301,DE-to-/de,German-only page moved under /de
/blog/unterschied-zwischen-zypern-und-nordzypern,/de/blog/unterschied-zwischen-zypern-und-nordzypern,301,DE-to-/de,German-only page moved under /de
/blog/vae-vs-zypern-immobilienmarkt,/de/blog/vae-vs-zypern-immobilienmarkt,301,DE-to-/de,German-only page moved under /de
/blog/vat-beim-immobilienkauf-auf-zypern,/de/blog/vat-beim-immobilienkauf-auf-zypern,301,DE-to-/de,German-only page moved under /de
/blog/warum-wandern-so-viele-nach-zypern-aus,/de/blog/warum-wandern-so-viele-nach-zypern-aus,301,DE-to-/de,German-only page moved under /de
/blog/wie-alexander-und-tatiana-ihren-ruhestand-auf-zypern,/de/blog/wie-alexander-und-tatiana-ihren-ruhestand-auf-zypern,301,DE-to-/de,German-only page moved under /de
/blog/wie-man-eine-daueraufenthaltserlaubnis-auf-zypern-erhaelt,/de/blog/wie-man-eine-daueraufenthaltserlaubnis-auf-zypern-erhaelt,301,DE-to-/de,German-only page moved under /de
/blog/wie-nach-zypern-auswandern,/de/blog/wie-nach-zypern-auswandern,301,DE-to-/de,German-only page moved under /de
/blog/wie-rentner-aus-deutschland-immobilien-auf-zypern-erwerben-koennen,/de/blog/wie-rentner-aus-deutschland-immobilien-auf-zypern-erwerben-koennen,301,DE-to-/de,German-only page moved under /de
/blog/wie-viel-geld-benoetigt-man-fuer-den-kauf-einer-immobilie-auf-zypern,/de/blog/wie-viel-geld-benoetigt-man-fuer-den-kauf-einer-immobilie-auf-zypern,301,DE-to-/de,German-only page moved under /de
